Name,Platform,Console,Release Date,Metacritic Score,User Score,Languages,Online Multiplayer,Physical,Edition
FIFA 22,Playstation,PS5,2021-09-27,78,3.6,English,"PvP, Co-Op",x,Standard
Marvel’s Guardians of the Galaxy,Playstation,PS5,2021-10-26,80,8.5,English,N/A,x,Standard
Judgment,Playstation,PS5,2021-04-23,80,8.6,English,N/A,x,Standard
Final Fantasy XVI,Playstation,PS5,2023-06-22,87,8.4,English,N/A,x,Standard
Sonic Frontiers,Playstation,PS5,2022-11-08,70,8.2,English,N/A,x,Day One
Marvel’s Spider-Man 2,Playstation,PS5,2023-10-20,90,8.8,English,N/A,x,Day One
Back 4 Blood,Playstation,PS5,2021-10-12,77,5.1,English,"PvP, Co-Op",x,Standard
NBA 2K22,Playstation,PS5,2021-09-10,76,3.9,English,"PvP, Co-Op",x,Standard
Star Trek Resurgence,Playstation,PS5,2023-05-23,71,6.9,English,N/A,x,Standard
NHL 22,Playstation,PS5,2021-10-12,71,4.6,English,"PvP, Co-Op",x,Standard
Demon's Souls,Playstation,PS5,2020-11-12,92,8.4,English,"PvP, Co-Op",x,Standard
Tekken 7,Playstation,PS4,2017-06-02,82,6.7,English,PvP,x,Standard
Gundam Versus,Playstation,PS4,2017-06-17,68,6.4,English,PvP,x,Standard
Monster Hunter: World,Playstation,PS4,2018-01-26,90,7.8,English, Co-op,x,Standard
Mortal Kombat 11,Playstation,PS4,2019-04-23,82,4.1,English,PvP,x,Standard
Spyro Reignited Trilogy,Playstation,PS4,2018-11-13,82,8.3,English,N/A,x,Standard
Star Wars Jedi: Fallen Order,Playstation,PS4,2019-11-15,79,7.6,English,N/A,x,Standard
FIFA 20,Playstation,PS4,2019-09-24,79,1.4,English," PvP, Co-Op",x,Standard
Horizon Zero Dawn,Playstation,PS4,2017-02-28,89,8.3,English,N/A,x,Standard
Death Stranding,Playstation,PS4,2019-11-08,82,7.4,English,N/A,x,Standard
Borderlands 3,Playstation,PS4,2019-09-13,81,5.5,English,"PvP, Co-Op",x,Standard
God of War,Playstation ,PS4,2018-04-20,94,9.1,English,N/A,x,Standard
Final Fantasy XII: The Zodiac Age,Playstation,PS4,2017-07-11,86,8.1,English,N/A,x,Steelbook
Final Fantasy X/X-2 HD Remaster,Playstation,PS4,2015-05-12,85,8.2,English,N/A,x,Standard
L.A. Noire,Playstation ,PS4,2017-11-14,89,8,English,N/A,x,Standard
NBA 2K20,Playstation,PS4,2019-09-06,78,1.6,English," PvP, Co-Op",x,Standard
Kingdom Hearts III,Playstation,PS4,2019-01-29,83,7.9,English,N/A,x,Standard
Medievil,Playstation,PS4,2019-10-25,67,8,English,N/A,x,Standard
Final Fantasy VII Remake,Playstation,PS4,2020-04-10,87,8.2,English,N/A,x,Standard
Marvel's Spider-Man: Miles Morales,Playstation,PS4,2020-11-12,85,7.6,English,N/A,x,Day One
Marvel’s Avengers,Playstation ,PS4,2020-09-04,67,4.9,English,"PvP, Co-Op",x,Standard
Until Dawn,Playstation,PS4,2015-08-25,79,8.3,English,N/A,x,Greatest Hits
Jump Force,Playstation,PS4,2019-02-12,56,4.6,English,PvP,x,Standard
PlayerUnknown’s Battlegrounds,Playstation,PS4,2018-12-07,86,4.9,English,PvP,x,Standard
NBA 2K18,Playstation,PS4,2017-09-15,80,1.9,English,"Pvp, Co-Op",x,Standard
Grand  Theft Auto V,Playstation,PS4,2014-11-18,97,8.5,English,"Pvp, Co-Op",x,Standard
Battlefield V,Playstation,PS4,2018-11-20,81,3.3,English,"Pvp, Co-Op",x,Standard
Anthem,Playstation,PS4,2019-02-15,59,4,English,"Pvp, Co-Op",x,Standard
Fallout 76,Playstation,PS4,2018-11-14,52,2.9,English,"Pvp, Co-Op",x,Standard
Destiny The Collection,Playstation,PS4,2019-09-20,76,6.1,English,"Pvp, Co-Op",x,Full Collection
Destiny 2,Playstation,PS4,2017-09-06,85,5.1,English,"Pvp, Co-Op",x,Forsaken
The Sly Collection,Playstation,PS3,2010-11-09,85,8.9,English,N/A,x,Full Collection
The Ico & Shadow of the Colossus Collection,Playstation,PS3,2011-09-22,92,8.7,English,N/A,x,Full Collection
Call of Duty: Black Ops II,Playstation,PS3,2012-11-13,83,5.8,English,PvP,x,Standard
Assassin's Creed III,Playstation,PS3,2012-10-30,84,7,English,Co-op,x,Standard
The Lord of the Rings: War in the North,Playstation ,PS3,2011-11-01,61,7.3,English,N/A,x,Standard
Vanquish,Playstation,PS3,2010-10-19,84,9.2,English,N/A,x,Standard
Fantastic Four: Rise of the Silver Surfer,Playstation,PS3,2007-06-15,45,6.3,English,N/A,x,Standard
Star Trek: The Video Game,Playstation,PS3,2013-04-23,42,2.6,English,N/A,x,Standard
Escape Dead Island,Playstation,PS3,2014-11-18,40,3.4,English,N/A,x,Standard
The Killzone Trilogy,Playstation,PS3,2012-11-23,82,8,English,N/A,x,Full Collection
SOCOM 4: U.S. Navy SEALs,Playstation,PS3,2011-04-19,67,6.4,English,"PvP, Co-Op",x,Standard
SOCOM: U.S. Navy SEALs Confrontation,Playstation,PS3,2008-10-14,63,5.5,English,"PvP, Co-Op",x,Standard
inFamous Collection,Playstation,PS3,2012-08-28,84,8.1,English,N/A,x,Full Collection
Wolfenstein: The New Order,Playstation,PS3,2014-05-20,79,8,English,Co-Op,x,Standard
Red Dead Redemption,Playstation,PS3,2010-05-18,95,9,English,N/A,x,GotY
Resistance: Fall of Man,Playstation,PS3,2006-11-14,86,7.7,English,"PvP,Co-op",x,Standard
Resistance 2,Playstation,PS3,2008-11-04,87,7.5,English,"PvP, Co-Op",x,Standard
Resistance 3,Playstation,PS3,2011-09-06,83,7.9,English,"PvP, Co-Op",x,Standard
Uncharted: Drake’s Fortune,Playstation,PS3,2007-11-16,88,7.7,English,N/A,x,Standard
Uncharted 2: Among Thieves,Playstation,PS3,2009-10-13,96,8.8,English,N/A,x,Standard
Uncharted 3: Drake’s Deception,Playstation,PS3,2011-11-01,92,8.4,English,N/A,x,Standard
God of War Saga,Playstation,PS3,2012-08-28,91,8.8,English,N/A,x,Full Collection
Dante's Inferno,Playstation,PS3,2010-02-09,73,7.7,English,Co-Op,x,Standard
Wolfenstein,Playstation,PS3,2009-08-18,72,7.2,English,Co-Op,x,Standard
Medal of Honor,Playstation,PS3,2010-10-12,74,6.8,English,"PvP, Co-Op",x,Standard
Medal of Honor: Warfighter,Playstation,PS3,2012-10-23,53,5.5,English,"PvP, Co-Op",x,Standard
LittleBIGPlanet,Playstation,PS3,2008-10-27,95,8.2,English,Co-Op,x,Standard
LittleBIGPlanet 2,Playstation,PS3,2011-01-18,91,8.6,English,Co-Op,x,Standard
Uncharted: Golden Abyss,Playstation,PS Vita,2012-02-15,80,7.5,English,N/A,x,Standard
Killzone: Mercenary,Playstation,PS Vita,2013-09-10,78,8.8,English,PvP,x,Standard
Resistance: Burning Skies,Playstation,PS Vita,2012-05-29,60,6.9,English,PvP,x,Standard
Phantasy Star Nova,Playstation,PS Vita,2014-12-27,N/A,N/A,Japanese,"Co-Op, MMO",x,Standard
Star Wars Heritage Pack,Nintendo,Switch,2023-04-27,82,8.3,English,N/A,x,Standard
Monster Hunter Generations Ultimate,Nintendo,Switch,2018-08-28,80,8.5,English,Co-Op,x,Standard
The Legend of Zelda: Breath of the Wild,Nintendo,Switch,2017-03-03,97,8.9,English,N/A,x,Standard
The Legend of Zelda: Tears of the Kingdom,Nintendo,Switch,2023-05-12,96,8.8,English,N/A,x,Standard
Metroid Prime Remastered,Nintendo,Switch,2023-02-08,94,8.9,English,N/A,x,Standard
Halo 5: Guardians,Xbox,Xbox One,2015-10-27,84,6.4,English,"PvP, Co-Op",x,Standard
Call of Cthulhu,Xbox,Xbox One,2018-10-30,63,7,English,N/A,x,Standard
Final Fantasy XI: The Vana’diel Collection,Xbox,Xbox 360,2007-11-20,85,7.5,English,MMO,x,Full Collection
